epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
1,8.706224202473958,0.02475,0.044333333333333336,9.029087741851807,0.029,0.055
2,7.3944224243164065,0.10125,0.15141666666666667,8.997124965667725,0.0665,0.103
3,6.643530033111572,0.1805,0.25583333333333336,8.81372229385376,0.119,0.1535
4,5.993602403004965,0.24658333333333332,0.33491666666666664,8.698012306213379,0.1475,0.179
5,5.416240072886149,0.29825,0.4101666666666667,8.456500679016113,0.17,0.2105
6,4.896407246271769,0.3418333333333333,0.486,8.32748094177246,0.187,0.2315
7,4.42420490582784,0.3894166666666667,0.5653333333333334,8.15877426147461,0.201,0.259
8,3.9974950866699217,0.43175,0.6376666666666667,8.08583003616333,0.215,0.282
9,3.6101505819956463,0.47583333333333333,0.717,7.95477547454834,0.2225,0.2975
10,3.264434773763021,0.5175833333333333,0.7883333333333333,7.96947278213501,0.2305,0.3185
